2020-04-03 23:01:48 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.206.131.213', port=49509): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D2A2908>, 'Connection to 103.206.131.213 timed out. (connect timeout=10)'))
2020-04-03 23:01:58 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000025B5D2A2588>, 'Connection to 103.206.131.213 timed out. (connect timeout=10)'))
2020-04-03 23:02:08 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='92.245.142.215', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D2AF320>, 'Connection to 92.245.142.215 timed out. (connect timeout=10)'))
2020-04-03 23:02:25 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='47.52.234.239', port=8888): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D2A2278>, 'Connection to 47.52.234.239 timed out. (connect timeout=10)'))
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:56:34 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:57:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:41 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 01:58:59 | ERROR | httpbin_vaildator_asyn.py:99 | _request() got an unexpected keyword argument 'proxies'
2020-04-04 02:03:11 | ERROR | httpbin_vaildator_asyn.py:99 | Constructor parameter should be str
2020-04-04 02:03:11 | ERROR | httpbin_vaildator_asyn.py:99 | Constructor parameter should be str
2020-04-04 11:35:38 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='58.218.214.151', port=8708): Max retries exceeded with url: http://httpbin.org/get (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
2020-04-04 11:35:38 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2020-04-04 11:43:47 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='190.152.71.230', port=54354): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000023295BB60F0>, 'Connection to 190.152.71.230 timed out. (connect timeout=10)'))
2020-04-04 11:43:57 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000023295BB69B0>, 'Connection to 190.152.71.230 timed out. (connect timeout=10)'))
